area,year,series,value,location,country_code
World,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,001
World,2005,Researchers per million inhabitants (FTE),907.2,,001
World,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,001
World,2010,Researchers per million inhabitants (FTE),1022.1,,001
World,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,001
World,2015,Researchers per million inhabitants (FTE),1160.0,,001
World,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,001
World,2020,Researchers per million inhabitants (FTE),1341.8,,001
Northern Africa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,015
Northern Africa,2005,Researchers per million inhabitants (FTE),472.9,,015
Northern Africa,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,015
Northern Africa,2010,Researchers per million inhabitants (FTE),500.9,,015
Northern Africa,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,015
Northern Africa,2015,Researchers per million inhabitants (FTE),691.9,,015
Northern Africa,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,015
Northern Africa,2020,Researchers per million inhabitants (FTE),771.1,,015
Sub-Saharan Africa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,202
Sub-Saharan Africa,2005,Researchers per million inhabitants (FTE),70.7,,202
Sub-Saharan Africa,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,202
Sub-Saharan Africa,2010,Researchers per million inhabitants (FTE),81.1,,202
Sub-Saharan Africa,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,202
Sub-Saharan Africa,2015,Researchers per million inhabitants (FTE),93.9,,202
Sub-Saharan Africa,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,202
Sub-Saharan Africa,2020,Researchers per million inhabitants (FTE),97.9,,202
Northern America,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.5,,021
Northern America,2005,Researchers per million inhabitants (FTE),3788.6,,021
Northern America,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,021
Northern America,2010,Researchers per million inhabitants (FTE),3957.9,,021
Northern America,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,021
Northern America,2015,Researchers per million inhabitants (FTE),4294.2,,021
Northern America,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.3,,021
Northern America,2020,Researchers per million inhabitants (FTE),4788.6,,021
Latin America and the Caribbean,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,419
Latin America and the Caribbean,2005,Researchers per million inhabitants (FTE),357.4,,419
Latin America and the Caribbean,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,419
Latin America and the Caribbean,2010,Researchers per million inhabitants (FTE),430.3,,419
Latin America and the Caribbean,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,419
Latin America and the Caribbean,2015,Researchers per million inhabitants (FTE),526.8,,419
Latin America and the Caribbean,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,419
Latin America and the Caribbean,2020,Researchers per million inhabitants (FTE),613.5,,419
Central Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,143
Central Asia,2005,Researchers per million inhabitants (FTE),458.3,,143
Central Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,143
Central Asia,2010,Researchers per million inhabitants (FTE),391.0,,143
Central Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,143
Central Asia,2015,Researchers per million inhabitants (FTE),496.1,,143
Central Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,143
Central Asia,2020,Researchers per million inhabitants (FTE),440.1,,143
Eastern Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.0,,030
Eastern Asia,2005,Researchers per million inhabitants (FTE),1079.2,,030
Eastern Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,030
Eastern Asia,2010,Researchers per million inhabitants (FTE),1390.6,,030
Eastern Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,030
Eastern Asia,2015,Researchers per million inhabitants (FTE),1678.1,,030
Eastern Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,030
Eastern Asia,2020,Researchers per million inhabitants (FTE),2131.0,,030
South-central Asia,2005,Researchers per million inhabitants (FTE),150.7,,062
South-central Asia,2010,Researchers per million inhabitants (FTE),174.7,,062
South-central Asia,2015,Researchers per million inhabitants (FTE),237.6,,062
South-central Asia,2020,Researchers per million inhabitants (FTE),308.1,,062
South-eastern Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,035
South-eastern Asia,2005,Researchers per million inhabitants (FTE),376.3,,035
South-eastern Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,035
South-eastern Asia,2010,Researchers per million inhabitants (FTE),533.9,,035
South-eastern Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,035
South-eastern Asia,2015,Researchers per million inhabitants (FTE),673.0,,035
South-eastern Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,035
South-eastern Asia,2020,Researchers per million inhabitants (FTE),883.5,,035
Southern Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,034
Southern Asia,2005,Researchers per million inhabitants (FTE),139.4,,034
Southern Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,034
Southern Asia,2010,Researchers per million inhabitants (FTE),166.7,,034
Southern Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,034
Southern Asia,2015,Researchers per million inhabitants (FTE),227.9,,034
Southern Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,034
Southern Asia,2020,Researchers per million inhabitants (FTE),303.1,,034
Western Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,145
Western Asia,2005,Researchers per million inhabitants (FTE),644.1,,145
Western Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,145
Western Asia,2010,Researchers per million inhabitants (FTE),731.5,,145
Western Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,145
Western Asia,2015,Researchers per million inhabitants (FTE),912.5,,145
Western Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,145
Western Asia,2020,Researchers per million inhabitants (FTE),1131.8,,145
Europe,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,150
Europe,2005,Researchers per million inhabitants (FTE),2733.3,,150
Europe,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,150
Europe,2010,Researchers per million inhabitants (FTE),2986.3,,150
Europe,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,150
Europe,2015,Researchers per million inhabitants (FTE),3313.7,,150
Europe,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.0,,150
Europe,2020,Researchers per million inhabitants (FTE),3704.2,,150
Oceania,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,009
Oceania,2005,Researchers per million inhabitants (FTE),2927.9,,009
Oceania,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,009
Oceania,2010,Researchers per million inhabitants (FTE),3208.4,,009
Oceania,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,009
Oceania,2015,Researchers per million inhabitants (FTE),3566.4,,009
Oceania,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,009
Oceania,2020,Researchers per million inhabitants (FTE),3522.5,,009
Australia and New Zealand,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,053
Australia and New Zealand,2005,Researchers per million inhabitants (FTE),3991.7,,053
Australia and New Zealand,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,053
Australia and New Zealand,2010,Researchers per million inhabitants (FTE),4396.3,,053
Australia and New Zealand,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,053
Australia and New Zealand,2015,Researchers per million inhabitants (FTE),4916.5,,053
Australia and New Zealand,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,053
Australia and New Zealand,2020,Researchers per million inhabitants (FTE),4894.2,,053
Albania,2008,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,008
Albania,2008,Researchers per million inhabitants (FTE),155.5,,008
Algeria,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,012
Algeria,2005,Researchers per million inhabitants (FTE),168.7,,012
Algeria,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,012
Algeria,2017,Researchers per million inhabitants (FTE),819.3,,012
American Samoa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,016
American Samoa,2005,Researchers per million inhabitants (FTE),100.7,,016
American Samoa,2006,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,016
Angola,2011,Researchers per million inhabitants (FTE),47.5,,024
Angola,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,024
Angola,2016,Researchers per million inhabitants (FTE),18.8,,024
Argentina,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,032
Argentina,2005,Researchers per million inhabitants (FTE),819.4,,032
