name,releaseDate,copiesSold,price_x,revenue,avgPlaytime,reviewScore,publisherClass,publishers_x,developers_x,steamId,appid,estimated owners,price_y,dlc count,supported languages,header image,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,categories,genres,tags
wwe 2k24,07-03-2024,165301,99.99,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690,2315690,100000 - 200000,59.99,4,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic']",https://cdn.akamai.steamstatic.com/steam/apps/2315690/header.jpg?t=1709876957,1396,1865,1865,2147,2147,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,In-App Purchases,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing","Simulation,Sports","Simulation,Sports,Wrestling,Fighting,Character Customization,Singleplayer,PvP,Co-op,Local Co-Op,Online Co-Op,Multiplayer,Controller,Local Multiplayer,Casual,3D Fighter,3D,Realistic,Sandbox"
earth defense force 6,25-07-2024,159806,59.99,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060,2291060,100000 - 200000,53.99,12,"['English', 'Traditional Chinese', 'Japanese', 'Korean', 'Simplified Chinese']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2291060/header.jpg?t=1721979786,3052,432,432,622,622,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together,Family Sharing",Action,"Action,Third-Person Shooter,Shooter,3D,Sci-fi,Online Co-Op,PvE,Singleplayer,Multiplayer,Co-op,Local Co-Op,Gore,Local Multiplayer,Violent,Mechs"
sins of a solar empire ii,15-08-2024,214192,49.99,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940,1575940,100000 - 200000,49.99,0,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1575940/header.jpg?t=1724421020,3430,126,126,151,151,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Cloud,Family Sharing","Simulation,Strategy","Strategy,Space,4X,RTS,Sci-fi,Multiplayer,Singleplayer,Tactical,Story Rich,Co-op,PvE,PvP,Immersive Sim,Real-Time,3D,Base-Building,Tutorial,Competitive,Choices Matter,Isometric"
legend of mortal,14-06-2024,440998,19.99,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910,1859910,0 - 20000,17.99,1,"['Traditional Chinese', 'Simplified Chinese']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1859910/header.jpg?t=1718595912,11240,692,692,1037,1037,"Single-player,Family Sharing","Adventure,Indie,RPG,Strategy",
shin megami tensei v: vengeance,13-06-2024,141306,59.99,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830,1875830,0 - 20000,59.99,6,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Traditional Chinese', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Turkish', 'Russian']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1875830/header.jpg?t=1718613838,1476,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,RPG",
soulmask,30-05-2024,304685,29.99,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460,2646460,0 - 20000,26.99,0,"['English', 'Simplified Chinese', 'Spanish - Spain', 'Russian', 'Japanese', 'Traditional Chinese', 'Korean', 'French', 'German', 'Portuguese - Portugal']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2646460/header_alt_assets_13.jpg?t=1717257996,1833,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie,Massively Multiplayer,RPG,Simulation,Early Access",
the universim,22-01-2024,328945,29.99,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720,352720,200000 - 500000,29.99,1,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Italian']",https://cdn.akamai.steamstatic.com/steam/apps/352720/header.jpg?t=1654197054,5534,2680,0,1140,0,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Strategy,Early Access","Early Access,God Game,Colony Sim,City Builder,Sandbox,Building,Casual,Survival,Management,Space,Strategy,Simulation,Procedural Generation,Colorful,Sci-fi,Resource Management,Aliens,Singleplayer,Open World,Real-Time with Pause"
bellwright,23-04-2024,280955,29.99,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450,1812450,0 - 20000,26.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Arabic', 'Portuguese - Portugal', 'Romanian', 'Croatian']",https://cdn.akamai.steamstatic.com/steam/apps/1812450/header.jpg?t=1714149072,2223,1106,1106,1850,1850,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Cloud,Family Sharing","Action,RPG,Simulation,Strategy,Early Access","Survival,Open World,Crafting,Medieval,Simulation,Online Co-Op,RPG,City Builder,Strategy,Building,Life Sim,Action,Exploration,Singleplayer,Third Person,Multiplayer,Early Access,Co-op,3D,War"
night of the dead,31-05-2024,394364,29.99,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380,1377380,200000 - 500000,24.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Korean', 'Simplified Chinese', 'Portuguese - Brazil', 'Italian', 'Arabic', 'Japanese', 'Traditional Chinese', 'Thai', 'Turkish', 'Polish', 'Hungarian']",https://cdn.akamai.steamstatic.com/steam/apps/1377380/header.jpg?t=1647311733,6107,2055,0,2536,0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Cloud","Action,Adventure,Indie,Simulation,Early Access","Early Access,Survival,Zombies,Base-Building,Open World,Female Protagonist,Open World Survival Craft,Tower Defense,Sandbox,Multiplayer,PvE,Building,Simulation,Hunting,Action,PvP,Adventure,Survival Horror,Third Person,Horror"
empires of the undergrowth,07-06-2024,408292,29.99,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530,463530,200000 - 500000,19.99,0,"['English', 'German', 'Simplified Chinese', 'Spanish - Spain', 'Russian']",https://cdn.akamai.steamstatic.com/steam/apps/463530/header_alt_assets_1.jpg?t=1658839963,6169,1629,170,1971,170,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Indie,Simulation,Strategy,Early Access","Colony Sim,Strategy,Base-Building,RTS,God Game,Nature,Management,Resource Management,Simulation,City Builder,Life Sim,Realistic,Science,Indie,Sci-fi,Singleplayer,Great Soundtrack,Dark Humor,Early Access,Documentary"
kingdom hearts -hd 1.5+2.5 remix-,13-06-2024,212325,49.99,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430,2552430,0 - 20000,34.49,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2552430/header.jpg?t=1718373003,1376,214,214,261,261,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,RPG",
animal well,09-05-2024,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230,813230,50000 - 100000,22.49,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Ukrainian', 'Korean']",https://cdn.akamai.steamstatic.com/steam/apps/813230/header.jpg?t=1715425583,3854,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie","Exploration,Metroidvania,Puzzle,Puzzle-Platformer,Platformer,Adventure,Horror,Action,Mystery,2D,Pixel Graphics,Relaxing,Atmospheric,Cute,Surreal,Nonlinear,Controller,Retro,Singleplayer,Indie"
