Country Name;Country Code;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Norway;NOR; 30.523,99 ; 27.963,70 ; 29.315,81 ; 34.875,70 ; 37.321,97 ; 36.629,03 ; 34.803,46 ; 36.393,29 ; 38.178,24 ; 38.601,90 ; 43.170,56 ; 50.250,33 ; 57.768,70 ; 67.047,17 ; 74.434,50 ; 85.502,27 ; 97.503,54 ; 80.347,57 ; 88.163,21 ; 101.221,81 ; 102.175,92 ; 103.553,84 ; 97.666,70 ; 74.809,97 ; 70.867,36 ; 76.131,84 ; 82.792,84 ; 76.430,59 ; 68.340,02 ; 93.072,89 ; 108.798,45 ; 87.925,09 
Netherlands;NLD; 23.939,22 ; 23.156,44 ; 24.682,59 ; 29.301,19 ; 29.063,62 ; 26.744,96 ; 27.924,28 ; 28.318,75 ; 26.225,17 ; 26.955,71 ; 29.446,53 ; 35.896,75 ; 40.611,34 ; 42.165,40 ; 45.123,54 ; 52.100,80 ; 58.246,70 ; 53.172,03 ; 51.305,73 ; 54.701,77 ; 50.473,94 ; 52.602,29 ; 53.457,22 ; 45.793,81 ; 46.808,53 ; 49.513,68 ; 53.955,08 ; 53.554,90 ; 53.467,93 ; 60.141,99 ; 59.123,32 ; 64.572,01 
Italy;ITA; 23.297,05 ; 18.781,95 ; 19.382,20 ; 20.712,18 ; 23.122,93 ; 21.883,99 ; 22.365,18 ; 22.050,00 ; 20.190,00 ; 20.571,48 ; 22.463,52 ; 27.618,94 ; 31.425,82 ; 32.171,79 ; 33.684,72 ; 38.031,97 ; 41.095,41 ; 37.388,45 ; 36.184,71 ; 38.851,39 ; 35.235,80 ; 35.747,71 ; 35.750,72 ; 30.387,13 ; 31.126,32 ; 32.554,15 ; 34.746,34 ; 33.812,79 ; 32.091,49 ; 36.852,54 ; 35.635,74 ; 39.003,32 
Spain;ESP; 16.100,68 ; 13.330,38 ; 13.405,70 ; 15.460,91 ; 16.100,62 ; 14.722,37 ; 15.382,33 ; 15.707,95 ; 14.743,27 ; 15.368,23 ; 17.111,07 ; 21.522,02 ; 24.925,03 ; 26.450,95 ; 28.421,69 ; 32.652,02 ; 35.603,25 ; 32.279,82 ; 30.658,74 ; 31.824,62 ; 28.456,44 ; 29.218,91 ; 29.694,89 ; 25.969,84 ; 26.740,69 ; 28.367,94 ; 30.592,13 ; 29.776,20 ; 27.230,36 ; 30.817,68 ; 30.287,37 ; 33.509,01 
Azerbaijan;AZE; 60,24 ; 209,53 ; 157,06 ; 314,56 ; 409,19 ; 505,52 ; 561,91 ; 573,89 ; 655,10 ; 703,67 ; 763,11 ; 883,69 ; 1.045,01 ; 1.578,37 ; 2.472,96 ; 3.851,33 ; 5.574,47 ; 4.950,40 ; 5.843,53 ; 7.189,82 ; 7.495,87 ; 7.875,35 ; 7.890,84 ; 5.500,50 ; 3.880,69 ; 4.147,20 ; 4.739,79 ; 4.805,75 ; 4.229,91 ; 5.408,05 ; 7.770,59 ; 7.125,91 
Russia;RUS; 3.098,80 ; 2.930,67 ; 2.662,10 ; 2.665,78 ; 2.643,93 ; 2.737,57 ; 1.834,86 ; 1.330,76 ; 1.771,59 ; 2.100,35 ; 2.377,53 ; 2.975,12 ; 4.102,36 ; 5.323,46 ; 6.920,20 ; 9.101,24 ; 11.635,28 ; 8.562,82 ; 10.674,99 ; 14.305,33 ; 15.401,85 ; 15.941,45 ; 14.055,47 ; 9.277,71 ; 8.663,16 ; 10.658,91 ; 11.211,89 ; 11.447,70 ; 10.108,33 ; 12.521,52 ; 15.445,24 ; 13.817,05 
Belarus;BLR; 1.658,09 ; 1.589,51 ; 1.460,01 ; 1.370,70 ; 1.452,51 ; 1.396,66 ; 1.511,26 ; 1.210,59 ; 1.276,28 ; 1.244,37 ; 1.479,38 ; 1.819,53 ; 2.378,34 ; 3.126,07 ; 3.848,22 ; 4.735,48 ; 6.376,18 ; 5.352,49 ; 6.034,68 ; 6.527,66 ; 6.953,22 ; 7.998,08 ; 8.341,29 ; 5.967,07 ; 5.039,78 ; 5.785,53 ; 6.360,05 ; 6.837,77 ; 6.542,86 ; 7.489,72 ; 7.994,65 ; 7.829,05 
France;FRA; 23.615,02 ; 22.238,83 ; 23.359,90 ; 26.791,82 ; 26.757,64 ; 24.169,40 ; 24.869,40 ; 24.576,32 ; 22.340,59 ; 22.331,79 ; 24.144,57 ; 29.479,52 ; 33.644,93 ; 34.696,37 ; 36.431,57 ; 41.486,19 ; 45.464,82 ; 41.728,09 ; 40.694,82 ; 43.929,78 ; 40.863,58 ; 42.669,18 ; 43.148,05 ; 36.702,43 ; 37.024,22 ; 38.687,16 ; 41.418,18 ; 40.408,28 ; 39.169,86 ; 43.725,10 ; 41.082,81 ; 44.690,93 
Cameroon;CMR; 1.005,45 ; 1.309,94 ; 700,71 ; 832,01 ; 826,97 ; 783,25 ; 798,75 ; 796,26 ; 708,57 ; 715,47 ; 789,62 ; 988,24 ; 1.133,39 ; 1.142,62 ; 1.191,45 ; 1.325,67 ; 1.492,14 ; 1.461,39 ; 1.398,59 ; 1.513,96 ; 1.449,10 ; 1.575,93 ; 1.649,44 ; 1.415,00 ; 1.441,72 ; 1.496,09 ; 1.610,70 ; 1.555,23 ; 1.555,60 ; 1.672,33 ; 1.604,88 ; 1.736,86 
USA;USA; 25.418,99 ; 26.387,29 ; 27.694,85 ; 28.690,88 ; 29.967,71 ; 31.459,13 ; 32.853,67 ; 34.515,38 ; 36.329,97 ; 37.133,62 ; 37.997,74 ; 39.490,30 ; 41.724,64 ; 44.123,40 ; 46.301,99 ; 48.050,23 ; 48.570,06 ; 47.194,95 ; 48.650,66 ; 50.065,98 ; 51.784,41 ; 53.409,75 ; 55.304,32 ; 57.040,21 ; 58.206,61 ; 60.322,26 ; 63.201,05 ; 65.604,68 ; 64.411,37 ; 71.318,31 ; 78.035,18 ; 82.769,41 
