Country;Capital city;GMT offset
Afghanistan;Kabul;+04:30
Albania;Tirana;+01:00
Algeria;Algiers;+01:00
American Samoa;Pago Pago;-11:00
Andorra;Andorra la Vella;+01:00
Angola;Luanda;+01:00
Anguilla;The Valley;-04:00
Antigua and Barbuda;St. John's;-04:00
Argentina;Buenos Aires;-03:00
Armenia;Yerevan;+04:00
Aruba;Oranjestad;-04:00
Australia;Canberra ACT;+11:00
Austria;Vienna;+01:00
Azerbaijan;Baku;+04:00
Bahamas;Nassau;-05:00
Bahrain;Manama;+03:00
Bangladesh;Dhaka;+06:00
Barbados;Bridgetown;-04:00
Belarus;Minsk;+03:00
Belgium;Brussels;+01:00
Belize;Belmopan;-06:00
Benin;Porto-Novo;+01:00
Bermuda;Hamilton;-04:00
Bhutan;Thimphu;+06:00
Bolivia;La Paz;-04:00
Bosnia and Herzegovina;Sarajevo;+01:00
Botswana;Gaborone;+02:00
Brazil;Brasilia;-03:00
British Virgin Islands;Road Town;-04:00
Brunei;Bandar Seri Begawan;+08:00
Bulgaria;Sofia;+02:00
Burkina Faso;Ouagadougou;0
Burma (Myanmar);Yangon;+06:30
Burundi;Bujumbura;+02:00
Cambodia;Phnom Penh;+07:00
Cameroon;Yaoundé;+01:00
Canada;Ottawa ON;-05:00
Cape Verde;Praia;-01:00
Cayman Islands;George Town;-05:00
Central African Republic;Bangui;+01:00
Chad;N'Djamena;+01:00
Chile;Santiago;-03:00
China;Beijing;+08:00
Christmas Island;Flying Fish Cove;+07:00
Colombia;Bogota;-05:00
Comoros;Moroni;+03:00
Congo-Brazzaville;Brazzaville;+01:00
Congo-Kinshasa;Kinshasa;+01:00
Cook Islands;Avarua;-10:00
Costa Rica;San José;-06:00
Croatia;Zagreb;+01:00
Cuba;Havana;-05:00
Curaçao;Willemstad;-04:00
Cyprus;Nicosia;+02:00
Czech Republic;Prague;+01:00
Denmark;Copenhagen;+01:00
Djibouti;Djibouti;+03:00
Dominica;Roseau;-04:00
Dominican Republic;Santo Domingo;-04:00
Ecuador;Quito;-05:00
Egypt;Cairo;+02:00
El Salvador;San Salvador;-06:00
Equatorial Guinea;Malabo;+01:00
Eritrea;Asmara;+03:00
Estonia;Tallinn;+02:00
Ethiopia;Addis Ababa;+03:00
Falkland Islands;Stanley;-03:00
Faroe Islands;Tórshavn;0
Fiji;Suva;+12:00
Finland;Helsinki;+02:00
France;Paris;+01:00
French Guiana;Cayenne;-03:00
French Polynesia;Papeete;-10:00
