,name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,AppID,Genres
0,wwe 2k24,07-03-2024,165301,99.99,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690,2315690,"Simulation,Sports"
1,earth defense force 6,25-07-2024,159806,59.99,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060,2291060,Action
2,sins of a solar empire ii,15-08-2024,214192,49.99,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940,1575940,"Simulation,Strategy"
3,legend of mortal,14-06-2024,440998,19.99,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910,1859910,"Adventure,Indie,RPG,Strategy"
4,shin megami tensei v: vengeance,13-06-2024,141306,59.99,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830,1875830,"Adventure,RPG"
5,soulmask,30-05-2024,304685,29.99,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460,2646460,"Adventure,Indie,Massively Multiplayer,RPG,Simulation,Early Access"
6,the universim,22-01-2024,328945,29.99,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720,352720,"Indie,Simulation,Strategy"
7,bellwright,23-04-2024,280955,29.99,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450,1812450,"Action,RPG,Simulation,Strategy,Early Access"
8,night of the dead,31-05-2024,394364,29.99,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380,1377380,"Action,Adventure,Indie,RPG,Simulation"
9,empires of the undergrowth,07-06-2024,408292,29.99,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530,463530,"Simulation,Strategy"
10,animal well,09-05-2024,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230,813230,"Action,Adventure,Indie"
