,area,year,gdp,r_d,researchers,hdi,public_expenditure_education,patents_num
0,Azerbaijan,2021,54825411765,0.2,1741.1,0.745,3.5,119
1,Argentina,2005,198737000000,0.4,819.4,0.802,3.9,1798
2,Argentina,2010,423627000000,0.6,1123.8,0.834,5.0,1366
3,Argentina,2020,385741000000,0.5,1236.9,0.84,5.1,2337
4,Australia,2010,1148890000000,2.4,4532.4,0.923,5.5,14557
5,Austria,2005,316092000000,2.4,3449.3,0.889,5.2,938
6,Austria,2010,392275000000,2.7,4349.7,0.902,5.7,1130
7,Belgium,2005,385715000000,1.8,3142.7,0.902,5.8,708
8,Belgium,2010,481421000000,2.1,3732.8,0.912,6.4,532
9,Brazil,2005,891634000000,1.0,509.0,0.698,4.5,2439
10,Brazil,2010,2208840000000,1.2,686.1,0.723,5.6,3251
11,Bulgaria,2005,29868657858,0.4,1307.8,0.762,4.1,313
12,Bulgaria,2010,50760929303,0.6,1478.7,0.79,3.9,251
13,Belarus,2021,69673747132,0.5,1417.7,0.808,4.7,316
14,Canada,2005,1173110000000,2.0,4250.1,0.903,4.8,15516
15,Canada,2010,1617340000000,1.8,4646.3,0.911,5.4,19120
16,Sri Lanka,2010,58636161082,0.1,105.6,0.737,1.7,504
17,Chile,2010,217051000000,0.3,318.8,0.813,4.2,1020
18,Chile,2019,278285000000,0.3,510.3,0.861,5.6,1490
19,China,2010,6087190000000,1.7,884.6,0.691,3.8,135110
20,Costa Rica,2010,37658614804,0.5,381.9,0.772,6.6,34
21,Croatia,2005,45025679590,0.8,1308.1,0.802,5.1,140
22,Croatia,2010,58836405999,0.7,1641.3,0.821,4.2,82
23,Cyprus,2005,18433411267,0.4,916.7,0.834,6.3,68
24,Cyprus,2010,25799940416,0.4,1077.7,0.857,6.5,19
25,Czechia,2005,137143000000,1.2,2356.1,0.844,3.9,1551
26,Czechia,2010,209070000000,1.3,2774.0,0.87,4.0,911
27,Denmark,2005,264467000000,2.4,5197.4,0.911,8.1,389
28,Denmark,2010,321995000000,2.9,6739.2,0.913,8.6,155
29,Ecuador,2010,68151329000,0.4,140.6,0.736,4.5,28
30,El Salvador,2019,26881140000,0.2,73.0,0.683,3.4,117
31,Estonia,2005,14106790200,0.9,2457.1,0.839,4.8,163
32,Estonia,2010,19523477326,1.6,3060.6,0.861,5.5,120
33,Finland,2005,204885000000,3.3,7526.6,0.905,6.0,1757
34,Finland,2010,249424000000,3.7,7720.2,0.911,6.5,923
35,France,2005,2196950000000,2.1,3313.3,0.866,5.5,11473
36,France,2010,2645190000000,2.2,3873.0,0.877,5.6,9899
37,Georgia,2021,18853115589,0.3,1623.7,0.802,3.6,128
38,Germany,2005,2846860000000,2.4,3335.0,0.914,4.1,17063
39,Germany,2010,3399670000000,2.7,4058.0,0.926,5.1,13678
