,name,releasedate,copiessold,price_x,revenue,avgplaytime,reviewscore,publisherclass,publishers_x,developers_x,steamid,appid,estimated owners,peak ccu,required age,price_y,discount,dlc count,supported languages,full audio languages,windows,mac,linux,positive,negative,achievements,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,single-player,multi-player,indie,early access,free to play,simulation,sports,action,strategy,adventure,rpg,massively multiplayer,casual,racing,jrpg
0,wwe 2k24,07-03-2024,165301,99.99,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690,2315690,100000 - 200000,5080,13,59.99,0,4,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic']","['English', 'Arabic']",True,False,False,1044,621,62,1396,1865,1865,2147,2147,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
1,earth defense force 6,25-07-2024,159806,59.99,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060,2291060,100000 - 200000,13591,0,53.99,0,12,"['English', 'Traditional Chinese', 'Japanese', 'Korean', 'Simplified Chinese']","['English', 'Traditional Chinese', 'Japanese', 'Korean', 'Simplified Chinese']",True,False,False,758,1306,39,3052,432,432,622,622,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2,sins of a solar empire ii,15-08-2024,214192,49.99,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940,1575940,100000 - 200000,5654,0,49.99,0,0,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']","['English', 'Spanish - Latin America']",True,False,False,3416,481,0,3430,126,126,151,151,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3,legend of mortal,14-06-2024,440998,19.99,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910,1859910,0 - 20000,0,0,17.99,0,1,"['Traditional Chinese', 'Simplified Chinese']",[],True,False,False,0,0,18,11240,692,692,1037,1037,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False
4,shin megami tensei v: vengeance,13-06-2024,141306,59.99,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830,1875830,0 - 20000,17528,17,59.99,0,6,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Traditional Chinese', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Turkish', 'Russian']","['English', 'Japanese', 'Russian']",True,False,False,0,0,48,1476,0,0,0,0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
5,soulmask,30-05-2024,304685,29.99,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460,2646460,0 - 20000,0,0,26.99,0,0,"['English', 'Simplified Chinese', 'Spanish - Spain', 'Russian', 'Japanese', 'Traditional Chinese', 'Korean', 'French', 'German', 'Portuguese - Portugal']",[],True,False,False,0,0,91,1833,0,0,0,0,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False
6,the universim,22-01-2024,328945,29.99,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720,352720,200000 - 500000,208,0,29.99,0,1,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Italian']","['English', 'Italian']",True,True,True,5677,1210,28,5534,2680,0,1140,0,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
7,bellwright,23-04-2024,280955,29.99,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450,1812450,0 - 20000,10693,0,26.99,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Arabic', 'Portuguese - Portugal', 'Romanian', 'Croatian']","['English', 'Croatian']",True,False,False,1170,404,31,2223,1106,1106,1850,1850,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False
8,night of the dead,31-05-2024,394364,29.99,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380,1377380,200000 - 500000,660,0,24.99,0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Korean', 'Simplified Chinese', 'Portuguese - Brazil', 'Italian', 'Arabic', 'Japanese', 'Traditional Chinese', 'Thai', 'Turkish', 'Polish', 'Hungarian']",[],True,False,False,5712,1335,53,6107,2055,0,2536,0,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False
9,empires of the undergrowth,07-06-2024,408292,29.99,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530,463530,200000 - 500000,317,0,19.99,0,0,"['English', 'German', 'Simplified Chinese', 'Spanish - Spain', 'Russian']","['English', 'Russian']",True,True,False,6149,336,28,6169,1629,170,1971,170,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
