region,area,year,gdp,r_d,researchers
1,World,2005,47760300000000,1.5,907.2
1,World,2010,66514200000000,1.6,1022.1
1,World,2015,75359700000000,1.7,1160.0
1,World,2020,85577700000000,1.9,1341.8
8,Albania,2008,12881352894,0.2,155.5
12,Algeria,2005,107047000000,0.1,168.7
12,Algeria,2017,189881000000,0.5,819.3
16,American Samoa,2005,500000000,0.4,100.7
24,Angola,2016,52761617226,0.0,18.8
31,Azerbaijan,2021,54825411765,0.2,1741.1
32,Argentina,2005,198737000000,0.4,819.4
32,Argentina,2010,423627000000,0.6,1123.8
32,Argentina,2015,594749000000,0.6,1230.5
32,Argentina,2020,385741000000,0.5,1236.9
36,Australia,2010,1148890000000,2.4,4532.4
40,Austria,2005,316092000000,2.4,3449.3
40,Austria,2010,392275000000,2.7,4349.7
40,Austria,2015,381971000000,3.0,5019.4
40,Austria,2020,435049000000,3.2,5751.3
48,Bahrain,2014,33387712766,0.1,369.0
56,Belgium,2005,385715000000,1.8,3142.7
56,Belgium,2010,481421000000,2.1,3732.8
56,Belgium,2015,462336000000,2.4,4711.0
56,Belgium,2020,526022000000,3.5,5750.1
68,Bolivia,2009,17339992194,0.2,143.9
70,Bosnia and Herzegovina,2005,11222796337,0.0,67.1
70,Bosnia and Herzegovina,2007,15778734264,0.0,198.0
70,Bosnia and Herzegovina,2015,16404348871,0.2,365.2
70,Bosnia and Herzegovina,2021,23672712242,0.2,447.2
72,Botswana,2013,14271738933,0.6,185.2
76,Brazil,2005,891634000000,1.0,509.0
76,Brazil,2010,2208840000000,1.2,686.1
76,Brazil,2014,2456040000000,1.3,887.7
100,Bulgaria,2005,29868657858,0.4,1307.8
100,Bulgaria,2010,50760929303,0.6,1478.7
100,Bulgaria,2015,50811995689,0.9,1977.3
100,Bulgaria,2020,70368758395,0.8,2402.1
104,Myanmar,2021,66345291160,0.1,18.6
108,Burundi,2012,2333341334,0.1,20.9
108,Burundi,2018,2667182200,0.2,23.4
112,Belarus,2021,69673747132,0.5,1417.7
116,Cambodia,2015,18049954289,0.1,30.4
124,Canada,2005,1173110000000,2.0,4250.1
124,Canada,2010,1617340000000,1.8,4646.3
124,Canada,2015,1556510000000,1.7,4523.3
124,Canada,2018,1725330000000,1.7,4516.3
132,Cabo Verde,2011,2046817987,0.1,50.1
144,Sri Lanka,2010,58636161082,0.1,105.6
144,Sri Lanka,2015,85140955389,0.1,106.0
144,Sri Lanka,2018,94493871201,0.1,105.6
148,Chad,2016,10097778098,0.3,57.9
152,Chile,2010,217051000000,0.3,318.8
152,Chile,2015,242450000000,0.4,455.0
152,Chile,2019,278285000000,0.3,510.3
156,China,2005,2285960000000,1.3,840.6
156,China,2010,6087190000000,1.7,884.6
156,China,2015,11061600000000,2.1,1150.8
156,China,2020,14687700000000,2.4,1584.9
170,Colombia,2015,293492000000,0.4,69.5
170,Colombia,2017,311867000000,0.3,88.0
180,Democratic Republic of the Congo,2015,12434793868,0.4,10.6
180,Democratic Republic of the Congo,2015,37917706497,0.4,10.6
188,Costa Rica,2010,37658614804,0.5,381.9
188,Costa Rica,2015,56441920821,0.4,495.3
188,Costa Rica,2018,62420164992,0.4,345.0
191,Croatia,2005,45025679590,0.8,1308.1
191,Croatia,2010,58836405999,0.7,1641.3
191,Croatia,2015,51011170112,0.8,1504.2
191,Croatia,2020,58221300898,1.2,2219.8
196,Cyprus,2005,18433411267,0.4,916.7
196,Cyprus,2010,25799940416,0.4,1077.7
196,Cyprus,2015,19909269064,0.5,1009.1
196,Cyprus,2020,25227189745,0.8,1690.8
202,Sub-Saharan Africa,2005,827932000000,0.3,70.7
202,Sub-Saharan Africa,2010,1448110000000,0.3,81.1
202,Sub-Saharan Africa,2015,1668660000000,0.3,93.9
202,Sub-Saharan Africa,2020,1716220000000,0.3,97.9
203,Czechia,2005,137143000000,1.2,2356.1
203,Czechia,2010,209070000000,1.3,2774.0
203,Czechia,2015,188033000000,1.9,3592.1
203,Czechia,2020,245975000000,2.0,4127.9
208,Denmark,2005,264467000000,2.4,5197.4
208,Denmark,2010,321995000000,2.9,6739.2
208,Denmark,2015,302673000000,3.1,7528.3
