region,country,year,patents,number_patents,patents_mapped
1,"Total, all countries or areas",1985,Grants of patents (number),,1
1,"Total, all countries or areas",1995,Grants of patents (number),,1
1,"Total, all countries or areas",2005,Grants of patents (number),,1
1,"Total, all countries or areas",2010,Grants of patents (number),,1
1,"Total, all countries or areas",2019,Grants of patents (number),,1
1,"Total, all countries or areas",2020,Grants of patents (number),,1
1,"Total, all countries or areas",2021,Grants of patents (number),,1
2,Africa,2005,Grants of patents (number),,1
2,Africa,2010,Grants of patents (number),,1
2,Africa,2019,Grants of patents (number),,1
2,Africa,2020,Grants of patents (number),,1
2,Africa,2021,Grants of patents (number),,1
419,Latin America & the Caribbean,2005,Grants of patents (number),,1
419,Latin America & the Caribbean,2010,Grants of patents (number),,1
419,Latin America & the Caribbean,2019,Grants of patents (number),,1
419,Latin America & the Caribbean,2020,Grants of patents (number),,1
419,Latin America & the Caribbean,2021,Grants of patents (number),,1
142,Asia,2005,Grants of patents (number),,1
142,Asia,2010,Grants of patents (number),,1
142,Asia,2019,Grants of patents (number),,1
142,Asia,2020,Grants of patents (number),,1
142,Asia,2021,Grants of patents (number),,1
150,Europe,2005,Grants of patents (number),,1
150,Europe,2010,Grants of patents (number),,1
150,Europe,2019,Grants of patents (number),,1
150,Europe,2020,Grants of patents (number),,1
150,Europe,2021,Grants of patents (number),,1
9,Oceania,2005,Grants of patents (number),,1
9,Oceania,2010,Grants of patents (number),,1
9,Oceania,2019,Grants of patents (number),,1
9,Oceania,2020,Grants of patents (number),,1
9,Oceania,2021,Grants of patents (number),,1
8,Albania,2019,Resident patent filings (per million population),2.0,2
8,Albania,2021,Resident patent filings (per million population),9.0,2
8,Albania,2005,Grants of patents (number),395.0,1
8,Albania,2010,Grants of patents (number),349.0,1
8,Albania,2019,Grants of patents (number),2.0,1
8,Albania,2020,Grants of patents (number),5.0,1
8,Albania,2021,Grants of patents (number),2.0,1
8,Albania,2010,Patents in force (number),349.0,3
8,Albania,2019,Patents in force (number),,3
8,Albania,2020,Patents in force (number),,3
8,Albania,2021,Patents in force (number),,3
12,Algeria,1995,Resident patent filings (per million population),1.0,2
12,Algeria,2005,Resident patent filings (per million population),2.0,2
12,Algeria,2010,Resident patent filings (per million population),2.0,2
12,Algeria,2019,Resident patent filings (per million population),3.0,2
12,Algeria,2020,Resident patent filings (per million population),4.0,2
12,Algeria,2021,Resident patent filings (per million population),6.0,2
12,Algeria,1995,Grants of patents (number),118.0,1
12,Algeria,2005,Grants of patents (number),443.0,1
12,Algeria,2010,Grants of patents (number),,1
12,Algeria,2019,Grants of patents (number),140.0,1
12,Algeria,2020,Grants of patents (number),421.0,1
12,Algeria,2021,Grants of patents (number),770.0,1
12,Algeria,2005,Patents in force (number),498.0,3
12,Algeria,2019,Patents in force (number),,3
12,Algeria,2020,Patents in force (number),,3
12,Algeria,2021,Patents in force (number),,3
20,Andorra,2019,Grants of patents (number),11.0,1
20,Andorra,2020,Grants of patents (number),13.0,1
20,Andorra,2021,Grants of patents (number),12.0,1
20,Andorra,2019,Patents in force (number),20.0,3
20,Andorra,2020,Patents in force (number),33.0,3
20,Andorra,2021,Patents in force (number),39.0,3
24,Angola,2020,Grants of patents (number),33.0,1
24,Angola,2021,Grants of patents (number),49.0,1
24,Angola,2020,Patents in force (number),85.0,3
24,Angola,2021,Patents in force (number),86.0,3
32,Argentina,1995,Resident patent filings (per million population),19.0,2
32,Argentina,2005,Resident patent filings (per million population),27.0,2
32,Argentina,2010,Resident patent filings (per million population),14.0,2
32,Argentina,2019,Resident patent filings (per million population),10.0,2
32,Argentina,2020,Resident patent filings (per million population),21.0,2
32,Argentina,2021,Resident patent filings (per million population),9.0,2
32,Argentina,1995,Grants of patents (number),,1
32,Argentina,2005,Grants of patents (number),,1
32,Argentina,2010,Grants of patents (number),,1
32,Argentina,2019,Grants of patents (number),,1
32,Argentina,2020,Grants of patents (number),,1
32,Argentina,2021,Grants of patents (number),,1
32,Argentina,2020,Patents in force (number),,3
32,Argentina,2021,Patents in force (number),,3
51,Armenia,1995,Resident patent filings (per million population),58.0,2
51,Armenia,2005,Resident patent filings (per million population),69.0,2
51,Armenia,2010,Resident patent filings (per million population),49.0,2
51,Armenia,2019,Resident patent filings (per million population),40.0,2
51,Armenia,2020,Resident patent filings (per million population),22.0,2
51,Armenia,2021,Resident patent filings (per million population),14.0,2
51,Armenia,1995,Grants of patents (number),52.0,1
51,Armenia,2005,Grants of patents (number),126.0,1
51,Armenia,2010,Grants of patents (number),124.0,1
51,Armenia,2019,Grants of patents (number),100.0,1
51,Armenia,2020,Grants of patents (number),72.0,1
51,Armenia,2021,Grants of patents (number),27.0,1
51,Armenia,2005,Patents in force (number),110.0,3
51,Armenia,2010,Patents in force (number),278.0,3
51,Armenia,2019,Patents in force (number),219.0,3
51,Armenia,2020,Patents in force (number),189.0,3
51,Armenia,2021,Patents in force (number),12.0,3
36,Australia,1995,Resident patent filings (per million population),99.0,2
36,Australia,2005,Resident patent filings (per million population),125.0,2
36,Australia,2010,Resident patent filings (per million population),109.0,2
36,Australia,2019,Resident patent filings (per million population),104.0,2
36,Australia,2020,Resident patent filings (per million population),92.0,2
36,Australia,2021,Resident patent filings (per million population),115.0,2
36,Australia,1985,Grants of patents (number),,1
36,Australia,1995,Grants of patents (number),,1
36,Australia,2005,Grants of patents (number),,1
36,Australia,2010,Grants of patents (number),,1
36,Australia,2019,Grants of patents (number),,1
36,Australia,2020,Grants of patents (number),,1
36,Australia,2021,Grants of patents (number),,1
36,Australia,2005,Patents in force (number),,3
36,Australia,2010,Patents in force (number),,3
36,Australia,2019,Patents in force (number),,3
36,Australia,2020,Patents in force (number),,3
36,Australia,2021,Patents in force (number),,3
40,Austria,1985,Resident patent filings (per million population),300.0,2
40,Austria,1995,Resident patent filings (per million population),217.0,2
40,Austria,2005,Resident patent filings (per million population),404.0,2
40,Austria,2010,Resident patent filings (per million population),497.0,2
40,Austria,2019,Resident patent filings (per million population),496.0,2
40,Austria,2020,Resident patent filings (per million population),497.0,2
40,Austria,2021,Resident patent filings (per million population),468.0,2
40,Austria,1985,Grants of patents (number),,1
40,Austria,1995,Grants of patents (number),,1
40,Austria,2005,Grants of patents (number),938.0,1
40,Austria,2010,Grants of patents (number),,1
40,Austria,2019,Grants of patents (number),,1
40,Austria,2020,Grants of patents (number),,1
40,Austria,2021,Grants of patents (number),,1
40,Austria,2005,Patents in force (number),,3
40,Austria,2010,Patents in force (number),,3
40,Austria,2019,Patents in force (number),,3
40,Austria,2020,Patents in force (number),,3
40,Austria,2021,Patents in force (number),,3
31,Azerbaijan,1995,Resident patent filings (per million population),29.0,2
31,Azerbaijan,2005,Resident patent filings (per million population),34.0,2
31,Azerbaijan,2010,Resident patent filings (per million population),30.0,2
31,Azerbaijan,2019,Resident patent filings (per million population),20.0,2
31,Azerbaijan,2020,Resident patent filings (per million population),11.0,2
31,Azerbaijan,2021,Resident patent filings (per million population),14.0,2
31,Azerbaijan,1995,Grants of patents (number),9.0,1
31,Azerbaijan,2005,Grants of patents (number),195.0,1
31,Azerbaijan,2010,Grants of patents (number),126.0,1
31,Azerbaijan,2019,Grants of patents (number),102.0,1
31,Azerbaijan,2020,Grants of patents (number),110.0,1
31,Azerbaijan,2021,Grants of patents (number),119.0,1
31,Azerbaijan,2019,Patents in force (number),236.0,3
31,Azerbaijan,2020,Patents in force (number),252.0,3
31,Azerbaijan,2021,Patents in force (number),272.0,3
44,Bahamas,1985,Grants of patents (number),66.0,1
48,Bahrain,2019,Resident patent filings (per million population),4.0,2
48,Bahrain,2020,Resident patent filings (per million population),6.0,2
48,Bahrain,2021,Resident patent filings (per million population),2.0,2
48,Bahrain,1985,Grants of patents (number),31.0,1
48,Bahrain,2019,Grants of patents (number),74.0,1
48,Bahrain,2020,Grants of patents (number),34.0,1
48,Bahrain,2021,Grants of patents (number),67.0,1
48,Bahrain,2019,Patents in force (number),130.0,3
48,Bahrain,2020,Patents in force (number),131.0,3
48,Bahrain,2021,Patents in force (number),114.0,3
