country_code,area,year,patents_num
1,"Total, all countries or areas",1985,397580
1,"Total, all countries or areas",1995,429800
1,"Total, all countries or areas",2005,632400
1,"Total, all countries or areas",2010,914200
1,"Total, all countries or areas",2019,1506900
1,"Total, all countries or areas",2020,1596500
1,"Total, all countries or areas",2021,1756500
2,Africa,2005,4200
2,Africa,2010,9000
2,Africa,2019,10600
2,Africa,2020,7400
2,Africa,2021,10800
419,Latin America & the Caribbean,2005,14200
419,Latin America & the Caribbean,2010,17200
419,Latin America & the Caribbean,2019,26900
419,Latin America & the Caribbean,2020,36100
419,Latin America & the Caribbean,2021,45900
142,Asia,2005,288600
142,Asia,2010,469500
142,Asia,2019,834900
142,Asia,2020,928700
142,Asia,2021,1122400
150,Europe,2005,150900
150,Europe,2010,160900
150,Europe,2019,239400
150,Europe,2020,231400
150,Europe,2021,208100
9,Oceania,2005,15200
9,Oceania,2010,18900
9,Oceania,2019,18700
9,Oceania,2020,19600
9,Oceania,2021,19300
8,Albania,2005,395
8,Albania,2010,349
8,Albania,2019,2
8,Albania,2020,5
8,Albania,2021,2
12,Algeria,1995,118
12,Algeria,2005,443
12,Algeria,2010,1076
12,Algeria,2019,140
12,Algeria,2020,421
12,Algeria,2021,770
20,Andorra,2019,11
20,Andorra,2020,13
20,Andorra,2021,12
24,Angola,2020,33
24,Angola,2021,49
32,Argentina,1995,1003
32,Argentina,2005,1798
32,Argentina,2010,1366
32,Argentina,2019,2177
32,Argentina,2020,2337
32,Argentina,2021,2298
51,Armenia,1995,52
51,Armenia,2005,126
51,Armenia,2010,124
51,Armenia,2019,100
51,Armenia,2020,72
51,Armenia,2021,27
36,Australia,1985,6764
36,Australia,1995,9406
36,Australia,2005,10979
36,Australia,2010,14557
36,Australia,2019,17010
36,Australia,2020,17778
36,Australia,2021,17155
40,Austria,1985,2571
40,Austria,1995,1777
40,Austria,2005,938
40,Austria,2010,1130
40,Austria,2019,1112
40,Austria,2020,1058
40,Austria,2021,1038
31,Azerbaijan,1995,9
31,Azerbaijan,2005,195
31,Azerbaijan,2010,126
31,Azerbaijan,2019,102
31,Azerbaijan,2020,110
31,Azerbaijan,2021,119
44,Bahamas,1985,66
48,Bahrain,1985,31
48,Bahrain,2019,74
48,Bahrain,2020,34
48,Bahrain,2021,67
50,Bangladesh,1985,118
50,Bangladesh,1995,80
50,Bangladesh,2005,182
50,Bangladesh,2010,92
50,Bangladesh,2019,129
50,Bangladesh,2020,140
50,Bangladesh,2021,240
52,Barbados,2005,7
112,Belarus,1995,633
112,Belarus,2005,955
112,Belarus,2010,1222
112,Belarus,2019,461
112,Belarus,2020,447
112,Belarus,2021,316
56,Belgium,1985,1976
56,Belgium,1995,1216
56,Belgium,2005,708
56,Belgium,2010,532
56,Belgium,2019,998
56,Belgium,2020,994
56,Belgium,2021,1005
84,Belize,2019,9
84,Belize,2020,3
84,Belize,2021,12
64,Bhutan,2019,1
68,Bolivia (Plurin. State of),1985,62
68,Bolivia (Plurin. State of),1995,47
70,Bosnia and Herzegovina,2005,46
70,Bosnia and Herzegovina,2010,173
70,Bosnia and Herzegovina,2019,2
70,Bosnia and Herzegovina,2020,18
70,Bosnia and Herzegovina,2021,4
76,Brazil,1985,3934
76,Brazil,1995,2659
76,Brazil,2005,2439
76,Brazil,2010,3251
76,Brazil,2019,10947
76,Brazil,2020,20407
76,Brazil,2021,26872
96,Brunei Darussalam,1995,42
96,Brunei Darussalam,2005,26
96,Brunei Darussalam,2010,40
96,Brunei Darussalam,2019,50
96,Brunei Darussalam,2020,27
96,Brunei Darussalam,2021,31
100,Bulgaria,1985,130
100,Bulgaria,1995,375
100,Bulgaria,2005,313
100,Bulgaria,2010,251
100,Bulgaria,2019,195
100,Bulgaria,2020,215
100,Bulgaria,2021,182
108,Burundi,1995,1
108,Burundi,2019,18
108,Burundi,2020,5
132,Cabo Verde,2021,2
116,Cambodia,2019,84
116,Cambodia,2020,96
124,Canada,1985,18697
124,Canada,1995,9139
124,Canada,2005,15516
124,Canada,2010,19120
124,Canada,2019,22009
124,Canada,2020,21284
124,Canada,2021,22687
152,Chile,1985,448
152,Chile,1995,133
152,Chile,2005,311
152,Chile,2010,1020
152,Chile,2019,1490
152,Chile,2020,2904
152,Chile,2021,2379
156,China,1985,44
156,China,1995,3393
156,China,2005,53305
156,China,2010,135110
156,China,2019,452804
156,China,2020,530127
156,China,2021,695946
344,"China, Hong Kong SAR",1985,1030
344,"China, Hong Kong SAR",1995,1960
344,"China, Hong Kong SAR",2005,6518
344,"China, Hong Kong SAR",2010,5353
344,"China, Hong Kong SAR",2019,6780
344,"China, Hong Kong SAR",2020,7658
344,"China, Hong Kong SAR",2021,14662
446,"China, Macao SAR",1995,2
446,"China, Macao SAR",2005,5
446,"China, Macao SAR",2010,156
446,"China, Macao SAR",2019,20
446,"China, Macao SAR",2020,18
446,"China, Macao SAR",2021,15
170,Colombia,1985,169
170,Colombia,1995,365
170,Colombia,2005,256
170,Colombia,2010,639
170,Colombia,2019,1630
170,Colombia,2020,1075
170,Colombia,2021,1263
178,Congo,1995,15
188,Costa Rica,1985,20
188,Costa Rica,1995,25
188,Costa Rica,2005,13
188,Costa Rica,2010,34
188,Costa Rica,2019,191
188,Costa Rica,2020,170
188,Costa Rica,2021,130
191,Croatia,1995,25
191,Croatia,2005,140
191,Croatia,2010,82
191,Croatia,2019,20
191,Croatia,2020,10
191,Croatia,2021,7
192,Cuba,1985,18
192,Cuba,1995,77
192,Cuba,2005,64
192,Cuba,2019,89
192,Cuba,2020,38
192,Cuba,2021,81
196,Cyprus,1985,43
196,Cyprus,2005,68
196,Cyprus,2010,19
196,Cyprus,2019,1
203,Czechia,1995,1299
203,Czechia,2005,1551
203,Czechia,2010,911
203,Czechia,2019,509
203,Czechia,2020,499
203,Czechia,2021,444
408,Dem. People's Rep. Korea,2005,3583
408,Dem. People's Rep. Korea,2010,6290
408,Dem. People's Rep. Korea,2019,4712
408,Dem. People's Rep. Korea,2020,4227
180,Dem. Rep. of the Congo,2019,63
180,Dem. Rep. of the Congo,2020,27
208,Denmark,1985,1054
208,Denmark,1995,1120
208,Denmark,2005,389
208,Denmark,2010,155
208,Denmark,2019,501
208,Denmark,2020,353
208,Denmark,2021,368
212,Dominica,2019,3
212,Dominica,2020,2
212,Dominica,2021,11
214,Dominican Republic,2010,91
214,Dominican Republic,2019,158
214,Dominican Republic,2020,138
214,Dominican Republic,2021,227
218,Ecuador,1995,90
218,Ecuador,2005,38
218,Ecuador,2010,28
218,Ecuador,2019,17
218,Ecuador,2020,9
218,Ecuador,2021,17
818,Egypt,1985,298
818,Egypt,1995,346
818,Egypt,2005,147
818,Egypt,2010,321
818,Egypt,2019,747
818,Egypt,2020,495
818,Egypt,2021,508
222,El Salvador,1985,70
222,El Salvador,1995,61
222,El Salvador,2019,117
222,El Salvador,2020,67
222,El Salvador,2021,58
233,Estonia,2005,163
233,Estonia,2010,120
233,Estonia,2019,5
233,Estonia,2020,12
233,Estonia,2021,8
748,Eswatini,1985,30
231,Ethiopia,2005,9
231,Ethiopia,2020,1
242,Fiji,1985,15
246,Finland,1985,2160
246,Finland,1995,2347
246,Finland,2005,1757
246,Finland,2010,923
246,Finland,2019,505
246,Finland,2020,602
246,Finland,2021,545
250,France,1985,24195
250,France,1995,17918
250,France,2005,11473
250,France,2010,9899
250,France,2019,13593
250,France,2020,12874
250,France,2021,15493
270,Gambia,2005,2
270,Gambia,2019,16
270,Gambia,2020,16
268,Georgia,1995,133
268,Georgia,2005,320
