DATAFLOW,LAST UPDATE,freq,unit,inet_tec,terrtypo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Austria,2020,50,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Austria,2021,76.8,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Austria,2022,91.7,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Austria,2023,96,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Belgium,2020,4.4,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Belgium,2021,4.2,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Belgium,2022,29.6,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Belgium,2023,40.4,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Bulgaria,2020,0,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Bulgaria,2021,40.1,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Bulgaria,2022,67.2,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Bulgaria,2023,70.9,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Switzerland,2020,89.2,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Switzerland,2021,94.6,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Switzerland,2022,96.8,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Switzerland,2023,98.5,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Cyprus,2020,0,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Cyprus,2021,75,,
ESTAT:ISOC_CBT(1.0),06/09/24 23:00:00,Annual,Percentage of households,Fifth generation technology standard for broadband cellular networks (5G),Total,Cyprus,2022,100,,
