DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Germany,2010,21.98,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Germany,2011,,u,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Germany,2012,15.27,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Germany,2013,16.89,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Germany,2014,15.12,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Germany,2015,23.21,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Germany,2016,,u,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Spain,2010,2.41,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Spain,2011,2.35,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Spain,2012,1.88,,
