game_name;steam_id;required_age;is_free;description;languages;developers;publishers;release_date;price;metacritic_score;genres;categories;release_date_2
WWE 2K24;2315690;16;False;Experience a gripping retelling of WrestleMania’s greatest moments in 2K Showcase of the Immortals in WWE 2K24, where you can relive a collection of some of the most unforgettable, career-defining matches.;English, French, Italian, German, Spanish - Spain, Arabic;Visual Concepts;2K;7 Mar, 2024;£24.99;;Simulation, Sports;Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, In-App Purchases, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing;7 Mar, 2024
EARTH DEFENSE FORCE 6;2291060;0;False;Live the future of despair.The year is 2024 AD. The survivors fought against the remaining threats while trying their best to continue their recovery.Three years passed in the year 2027. In a new world without hope, the time has come to once again resist the fate of the Earth.;English, Traditional Chinese, Japanese, Korean, Simplified Chinese;SANDLOT;D3PUBLISHER;25 Jul, 2024;£49.99;79.0;Action;Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing;25 Jul, 2024
Sins of a Solar Empire II;1575940;0;False;Battle for galactic dominance in this real-time 4X strategy game with unrivaled scale! You’ll explore, expand, exploit, and exterminate through military force, diplomacy, trade, culture, influence, and other underhanded tactics.;English, French, Italian, German, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America;Ironclad Games Corporation, Stardock Entertainment;Stardock Entertainment;15 Aug, 2024;£41.99;;Simulation, Strategy;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Steam Cloud, Family Sharing;15 Aug, 2024
Legend of Mortal;1859910;0;False;The game world is set in a turbulent state and the mighty Tang-Man declines. The threats from the old enemies keep coming one after another.As a nobody, will you choose either to leave yourself out of it or to fight for Tang-Man's future and turning the tide? The journey of yours,is unpredictable.;Traditional Chinese, Simplified Chinese;Obb Studio Inc.;Paras Games, Obb Studio Inc.;14 Jun, 2024;£10.00;;Adventure, Indie, RPG, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;14 Jun, 2024
Shin Megami Tensei V: Vengeance;1875830;17;False;Become a mighty demigod and battle through a decimated Tokyo in a war between angels and demons. Make new allies along your journey, engage in intense, turn-based combat, recruit hundreds of demons and forge your own path to dictate the fate of all existence.;English, French, Italian, German, Spanish - Spain, Traditional Chinese, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Turkish, Russian;ATLUS;SEGA;13 Jun, 2024;CDN$ 55.99;90.0;Adventure, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;13 Jun, 2024
Soulmask;2646460;0;False;Escaping a deadly sacrificial ritual, you find an ancient mystical mask on your journey. This mask holds potent knowledge, changing the world you knew. Face the harsh challenges of nature, survive, rally followers, and build your own tribe. Explore and unveil the truths behind the enigmatic mask.;English, Simplified Chinese, Spanish - Spain, Russian, Japanese, Traditional Chinese, Korean, French, German, Portuguese - Brazil;CampFire Studio;Qooland Games;30 May, 2024;£24.99;;Adventure, Indie, Massively Multiplayer, RPG, Simulation, Early Access;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Cloud, Family Sharing;30 May, 2024
The Universim;352720;0;False;Jump straight into managing your own planets as you guide a civilization through the ages. Build the ultimate empire in The Universim, a new breed of God Game in development by Crytivo.;English, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Korean, Simplified Chinese;Crytivo;Crytivo;22 Jan, 2024;£22.99;;Indie, Simulation, Strategy;Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing;22 Jan, 2024
Bellwright;1812450;0;False;Establish and expand your own settlements, liberate the land and assist its villagers, and recruit others to your cause while learning more about a life you had to leave behind. Command your forces, prove your valor through combat, and cement yourself as the hero of your people.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Ukrainian, Arabic, Portuguese - Portugal, Romanian, Croatian;Donkey Crew;Donkey Crew, Snail Games USA;23 Apr, 2024;£24.99;;Action, RPG, Simulation, Strategy, Early Access;Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing;23 Apr, 2024
Night of the Dead;1377380;0;False;'Night of the Dead' is an open-world game that combines elements of exploration, tower defense, survival, and crafting. Traverse a world dominated by zombies while collecting various resources and powerful equipment. Build a fortress to survive the hordes of zombies that swarm every night!;English, French, German, Spanish - Spain, Russian, Korean, Simplified Chinese, Portuguese - Brazil, Italian, Arabic, Japanese, Traditional Chinese, Thai, Turkish, Polish, Hungarian;Jackto Studios;Jackto Studios;31 May, 2024;£9.99;;Action, Adventure, Indie, RPG, Simulation;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Partial Controller Support, Steam Cloud, Family Sharing;31 May, 2024
Empires of the Undergrowth;463530;0;False;Command swarms of warriors at an unprecedented scale of warfare in this blend of RTS and base-building. Lead ant colonies against the many fearsome threats of the insect world, while building intricate nests, developing pheromone-based tactics, and evolving to meet growing dangers.;English, German, Simplified Chinese, Spanish - Spain, Russian, French, Czech, Dutch, Japanese, Korean, Polish, Italian, Hungarian, Traditional Chinese, Turkish, Ukrainian, Portuguese - Brazil;Slug Disco;Hooded Horse, Slug Disco;7 Jun, 2024;£24.99;;Simulation, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;7 Jun, 2024
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-;2552430;0;False;KINGDOM HEARTS -HD 1.5+2.5 ReMIX- is an HD remastered collection of 6 unforgettable KINGDOM HEARTS experiences. Take up your Keyblade to save the Disney worlds from darkness.;English, French, Italian, German, Spanish - Spain, Japanese;Square Enix;Square Enix;13 Jun, 2024;£39.99;;Action, Adventure, RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;13 Jun, 2024
ANIMAL WELL;813230;0;False;Explore a dense, interconnected labyrinth, and unravel its many secrets. Collect items to manipulate your environment in surprising and meaningful ways. Encounter beautiful and unsettling creatures, as you attempt to survive what lurks in the dark. There is more than what you see.;English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Portuguese - Brazil, Russian, Ukrainian, Korean;Billy Basso;Bigmode;9 May, 2024;£20.99;91.0;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;9 May, 2024
Age of Mythology: Retold;1934680;0;False;From the creators of the award-winning Age of Empires franchise, Age of Mythology: Retold goes beyond history to a mythical age where gods, monsters, and humans collide.;English, French, Italian, German, Spanish - Spain, Danish, Dutch, Finnish, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese, Czech, Hungarian;World's Edge, Forgotten Empires, Tantalus Media, CaptureAge, Virtuos Games;Xbox Game Studios;4 Sep, 2024;£22.49;83.0;Strategy;Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Partial Controller Support, Steam Cloud, Includes level editor, Family Sharing;4 Sep, 2024
STAR WARS™: Battlefront Classic Collection;2446550;0;False;Play the classic STAR WARS™ Battlefront games, online and offline in this definitive collection.;English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese;Aspyr;Aspyr;13 Mar, 2024;£29.33;;Action;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing;13 Mar, 2024
Another Crab's Treasure;1887840;0;False;In a vibrant undersea kingdom on the verge of collapse, a hermit crab embarks on a treasure hunt to buy back his repossessed shell. The second game from AGGRO CRAB.;English, French, Italian, German, Japanese, Korean, Russian, Simplified Chinese, Portuguese - Brazil, Spanish - Latin America, Traditional Chinese;Aggro Crab;Aggro Crab;25 Apr, 2024;£26.99;;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;25 Apr, 2024
Homeworld 3;1840080;7;False;Tactical, beautiful, and wholly unique, the GOTY-winning sci-fi RTS returns with Homeworld 3. Assume control and battle through fleet combat in dazzling, fully 3D space while the award-winning story unfolds on a galactic scale.;English, French, Italian, German, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish;Blackbird Interactive;Gearbox Publishing;13 May, 2024;£49.99;;Simulation, Strategy;Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Family Sharing;13 May, 2024
Winter Memories;2495450;0;False;After the unforgettable summer memories you’ve made half a year ago, Yui, Rio, and Miyuki are back. With the change of seasons and the cold falling snow, a new page to your story is about to begin.;English, Japanese, Simplified Chinese;Dojin Otome;Kagura Games;5 Jan, 2024;£15.49;;Adventure, Casual, RPG, Simulation;Single-player, Steam Cloud, Family Sharing;5 Jan, 2024
Nine Sols;1809540;0;False;Nine Sols is a lore rich, hand-drawn 2D action-platformer featuring Sekiro-inspired deflection focused combat. Embark on a journey of eastern fantasy, explore the land once home to an ancient alien race, and follow a vengeful hero’s quest to slay the 9 Sols, formidable rulers of this forsaken realm.;English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Russian, Ukrainian, Portuguese - Brazil, Spanish - Latin America;RedCandleGames;RedCandleGames;28 May, 2024;£19.99;;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing;28 May, 2024
Outpost: Infinity Siege;1566690;0;False;Command Mobile Outpost and take XEN Firearm to venture deep into the Signet surveillance off-limit area. Collect unique Weapon Units. Amp up the firepower of the Outpost that fights with you. This is an FTD game - FPS, Tower Defense, Base Building and much more all at the same time.;Simplified Chinese, English, French, German, Japanese, Traditional Chinese, Korean;Team Ranger;Lightning Games;26 Mar, 2024;£20.99;;Action, Strategy;Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing;26 Mar, 2024
Sker Ritual;1492070;0;False;An intense round-based zombie survival FPS, play solo or co-op. Shoot your way through relentless waves of vicious horrors with high-octane objectives, upgrading steampunk weapons, collecting Celtic God powers, and surviving the onslaught of the Quiet Ones.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Turkish, Welsh, Czech, Polish, Thai, Traditional Chinese;Wales Interactive;Wales Interactive;18 Apr, 2024;£19.99;;Action, Adventure, Indie;Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing;18 Apr, 2024
shapez 2;2162800;0;False;Dive into a factory-building game where the focus is on just that — building huge factories! Construct sprawling multi-level factories and min-max your layouts without limits. shapez 2 is tailor-made for enthusiasts who crave the thrill of optimizing production lines and perfecting automation.;English, French, German, Spanish - Spain, Korean, Turkish, Polish, Russian, Thai, Japanese, Portuguese - Brazil, Simplified Chinese, Traditional Chinese;tobspr Games;tobspr Games, Gamera Games;15 Aug, 2024;£19.99;;Casual, Indie, Simulation, Strategy, Early Access;Single-player, Steam Cloud, Family Sharing;15 Aug, 2024
Senua’s Saga: Hellblade II;2461850;0;False;The sequel to the award winning Hellblade: Senua’s Sacrifice, Senua returns in a brutal journey of survival through the myth and torment of Viking Iceland. Intent on saving those who have fallen victim to the horrors of tyranny, Senua faces a battle of overcoming the darkness within and without.;English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Ukrainian, Hebrew, Icelandic;Ninja Theory;Xbox Game Studios;21 May, 2024;£34.99;;Action, Adventure;Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, HDR available, Family Sharing;21 May, 2024
Pixel Gun 3D: PC Edition;2524890;0;True;The legendary mobile multiplayer FPS Pixel Gun 3D comes to PC! Experience an enhanced world of colorful, blocky action. Featuring dozens of game modes and maps, 1500+ guns plus cross-platform multiplayer and progression.;English, French, German, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish;Cubic Games Studio;Cubic Games Studio;2 Apr, 2024;;;Action, Adventure, Massively Multiplayer, Free To Play;Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, In-App Purchases;2 Apr, 2024
Backpack Battles;2427700;0;False;A PvP inventory management auto battler! Buy and craft powerful items, then carefully arrange them in your backpack.;English, German, Japanese, Korean, Simplified Chinese, Traditional Chinese;PlayWithFurcifer;PlayWithFurcifer, IndieArk;8 Mar, 2024;£10.99;;Strategy, Early Access;Multi-player, PvP, Online PvP, Full controller support, Steam Cloud, Family Sharing;8 Mar, 2024
Crime Scene Cleaner;1040200;0;False;Once you get tangled with the mob, you will forever be a part of the mob. At least they pay a decent salary and all you have to do is clean up after their dirty work, but you know what you’re doing. So clean crime scenes, earn as much money as you can, and get ready for the next mission.;English, French, Italian, German, Spanish - Spain, Simplified Chinese, Polish, Russian, Portuguese - Brazil, Turkish, Japanese, Korean, Traditional Chinese, Czech, Dutch, Portuguese - Portugal;President Studio;President Studio, PlayWay S.A.;14 Aug, 2024;£17.99;;Action, Simulation;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;14 Aug, 2024
Kebab Chefs! - Restaurant Simulator;1001270;0;False;Kebab Chefs! is a Co-Op, cooking and restaurant management game that can be played up to 4 players. Design your own restaurant. Cook delicious foods, fill your menu with various recipes, feed customers and become the biggest kebab restaurant in town!;English, German, Russian, Turkish, French, Italian, Spanish - Spain, Polish, Portuguese - Portugal, Simplified Chinese, Japanese, Korean, Czech, Hungarian, Thai, Vietnamese;Biotech Gameworks;Biotech Gameworks;19 Jan, 2024;£16.75;;Simulation, Early Access;Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;19 Jan, 2024
Predecessor;961200;0;True;Inspired by the legacy of Paragon, built with love by the community, and powered by Unreal Engine 5, Predecessor is the ultimate fusion of shooter action and MOBA strategy. Join more than 2,000,000 players and play for FREE now!;English, French, Italian, German, Portuguese - Brazil, Spanish - Latin America, Simplified Chinese;Omeda Studios;Omeda Studios;20 Aug, 2024;;;Action, Strategy, Free To Play;Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, In-App Purchases;20 Aug, 2024
Palia;2707930;0;True;Palia is a vibrant new world made just for you. Craft, cook, fish, and farm with friends as you live the life of your dreams and discover an enchanting adventure filled with colorful characters and a mystery to unravel.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese;Singularity 6 Corporation;Singularity 6 Corporation;25 Mar, 2024;;;Adventure, Casual, Indie, RPG, Simulation, Free To Play;Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Partial Controller Support;25 Mar, 2024
Little Kitty, Big City;1177980;0;False;You're a curious little kitty with a big personality, on an adventure to find your way back home. Explore the city, make new friends with stray animals, wear delightful hats, and leave more than a little chaos in your wake. After all, isn't that what cats do best?;English, Spanish - Spain, Japanese, Portuguese - Brazil, French, German, Korean, Simplified Chinese, Traditional Chinese, Italian, Polish, Russian, Turkish;Double Dagger Studio;Double Dagger Studio;9 May, 2024;£20.99;;Adventure, Casual, Indie, Simulation;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;9 May, 2024
Secrets of Grindea;269770;0;False;Secrets of Grindea is an old-school Action RPG with co-op support for up to 4 players. Journey through fantastical lands and battle tons of different enemies and bosses in your quest for truth, friendship and, above all, finding the world’s rarest treasures!;English;Pixel Ferrets;Pixel Ferrets;29 Feb, 2024;£10.99;;Action, Adventure, Indie, RPG;Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing;29 Feb, 2024
Chrono Ark;1188930;0;False;Chrono Ark is a singleplayer roguelike that combines elements from deckbuilders and party-based RPGs. Recruit, train, and build a team of unique Investigators to restore the Twisted World!;English, Korean, Japanese, Simplified Chinese, Traditional Chinese;Al Fine;Al Fine;2 May, 2024;£20.99;;Adventure, Indie, RPG, Strategy;Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing;2 May, 2024
