,price_USD,revenue,publisherClass
0,99.99,8055097.0,AAA
1,59.99,7882151.0,Indie
2,49.99,7815247.0,Indie
3,19.99,7756399.0,Indie
4,59.99,7629252.0,AA
5,29.99,7540563.0,Indie
6,29.99,7534369.0,Indie
7,29.99,7481940.0,Indie
8,29.99,7091792.0,Indie
9,29.99,6950952.0,AA
10,49.99,6828446.0,AA
11,24.99,6420393.0,Indie
12,29.99,6381185.0,AAA
13,35.01,6048340.0,Indie
14,29.99,5719324.0,Indie
15,59.99,5516030.0,AA
16,19.99,5478333.0,Indie
17,29.99,5475592.0,Indie
18,24.99,5312327.0,AA
19,24.99,5058868.0,Indie
20,24.99,4810868.0,Indie
21,49.99,4747832.0,AAA
22,0.0,4707782.0,Indie
23,12.99,4663468.0,Indie
24,19.99,4644684.0,Indie
25,17.99,4552032.0,Indie
26,0.0,4523839.944318563,Indie
27,0.0,4263470.0,Indie
28,24.99,4238137.0,Indie
29,14.99,4161183.0,Indie
30,24.99,4113334.0,Indie
31,17.99,4047331.0,Indie
32,19.99,4042356.0,Indie
33,29.99,3991591.0,AA
34,49.99,3953243.0,AA
35,32.99,3740762.0,Indie
36,9.99,3689551.0,Indie
37,20.99,3559827.0,Indie
38,49.99,3465018.0,AAA
39,34.99,3428483.0,AA
40,44.99,3406127.0,Indie
41,49.99,3387809.0,AA
42,2.99,3369649.0,Indie
43,13.99,3342356.0,Indie
44,12.99,3322822.0,Indie
45,19.99,3272209.0,AA
46,29.99,3262820.0,Indie
47,19.99,3262379.0,Indie
48,69.99,3182368.0,AAA
49,10.99,3180800.0,AA
50,17.99,263733.0,Indie
51,19.99,263197.0,Indie
52,24.99,263004.0,Indie
53,4.99,262728.0,Indie
54,19.99,260940.0,Indie
55,8.99,260449.0,Indie
56,0.0,259513.0,Indie
57,9.99,259157.0,Indie
58,29.99,258574.0,Indie
59,29.99,256387.0,Indie
60,21.99,256071.0,Indie
61,13.99,255512.0,Indie
62,19.99,255441.0,AA
63,29.99,254966.0,Indie
64,24.99,253627.0,Indie
65,19.99,252953.0,Indie
66,19.99,251556.0,Indie
67,14.99,250950.0,Indie
68,19.99,249767.0,Indie
69,9.99,249274.0,Indie
70,39.99,248804.0,Indie
71,7.99,243845.0,Indie
72,19.99,241254.0,Indie
73,9.99,240922.0,Indie
74,4.99,239666.0,Indie
75,24.99,237361.0,Indie
76,0.0,235863.0,Indie
77,19.99,235724.0,Indie
78,4.99,235604.0,Indie
79,15.99,235479.0,Indie
80,5.99,232416.0,Indie
81,14.99,230628.0,AA
82,19.99,229922.0,Indie
83,11.99,227666.0,Indie
84,11.99,227642.0,Indie
