country_code,area,year,series,value
1,World,2010,Grants of patents (number),"914,200"
1,World,2019,Grants of patents (number),"1,506,900"
1,World,2020,Grants of patents (number),"1,596,500"
1,World,2021,Grants of patents (number),"1,756,500"
2,Africa,2005,Grants of patents (number),"4,200"
2,Africa,2010,Grants of patents (number),"9,000"
2,Africa,2019,Grants of patents (number),"10,600"
2,Africa,2020,Grants of patents (number),"7,400"
2,Africa,2021,Grants of patents (number),"10,800"
419,Latin America and the Caribbean,2005,Grants of patents (number),"14,200"
419,Latin America and the Caribbean,2010,Grants of patents (number),"17,200"
419,Latin America and the Caribbean,2019,Grants of patents (number),"26,900"
419,Latin America and the Caribbean,2020,Grants of patents (number),"36,100"
419,Latin America and the Caribbean,2021,Grants of patents (number),"45,900"
142,Asia,2005,Grants of patents (number),"288,600"
142,Asia,2010,Grants of patents (number),"469,500"
142,Asia,2019,Grants of patents (number),"834,900"
142,Asia,2020,Grants of patents (number),"928,700"
142,Asia,2021,Grants of patents (number),"1,122,400"
150,Europe,2005,Grants of patents (number),"150,900"
150,Europe,2010,Grants of patents (number),"160,900"
150,Europe,2019,Grants of patents (number),"239,400"
150,Europe,2020,Grants of patents (number),"231,400"
150,Europe,2021,Grants of patents (number),"208,100"
9,Oceania,2005,Grants of patents (number),"15,200"
9,Oceania,2010,Grants of patents (number),"18,900"
9,Oceania,2019,Grants of patents (number),"18,700"
9,Oceania,2020,Grants of patents (number),"19,600"
9,Oceania,2021,Grants of patents (number),"19,300"
8,Albania,2019,Resident patent filings (per million population),2
8,Albania,2021,Resident patent filings (per million population),9
8,Albania,2005,Grants of patents (number),395
8,Albania,2010,Grants of patents (number),349
8,Albania,2019,Grants of patents (number),2
8,Albania,2020,Grants of patents (number),5
8,Albania,2021,Grants of patents (number),2
8,Albania,2010,Patents in force (number),349
8,Albania,2019,Patents in force (number),"6,017"
8,Albania,2020,Patents in force (number),"5,833"
8,Albania,2021,Patents in force (number),"6,519"
12,Algeria,1995,Resident patent filings (per million population),1
12,Algeria,2005,Resident patent filings (per million population),2
12,Algeria,2010,Resident patent filings (per million population),2
12,Algeria,2019,Resident patent filings (per million population),3
12,Algeria,2020,Resident patent filings (per million population),4
12,Algeria,2021,Resident patent filings (per million population),6
12,Algeria,1995,Grants of patents (number),118
12,Algeria,2005,Grants of patents (number),443
12,Algeria,2010,Grants of patents (number),"1,076"
12,Algeria,2019,Grants of patents (number),140
12,Algeria,2020,Grants of patents (number),421
12,Algeria,2021,Grants of patents (number),770
12,Algeria,2005,Patents in force (number),498
12,Algeria,2019,Patents in force (number),"4,496"
12,Algeria,2020,Patents in force (number),"4,319"
12,Algeria,2021,Patents in force (number),"4,646"
20,Andorra,2019,Grants of patents (number),11
20,Andorra,2020,Grants of patents (number),13
20,Andorra,2021,Grants of patents (number),12
20,Andorra,2019,Patents in force (number),20
20,Andorra,2020,Patents in force (number),33
20,Andorra,2021,Patents in force (number),39
24,Angola,2020,Grants of patents (number),33
24,Angola,2021,Grants of patents (number),49
24,Angola,2020,Patents in force (number),85
24,Angola,2021,Patents in force (number),86
32,Argentina,1995,Resident patent filings (per million population),19
32,Argentina,2005,Resident patent filings (per million population),27
32,Argentina,2010,Resident patent filings (per million population),14
32,Argentina,2019,Resident patent filings (per million population),10
32,Argentina,2020,Resident patent filings (per million population),21
32,Argentina,2021,Resident patent filings (per million population),9
32,Argentina,1995,Grants of patents (number),"1,003"
32,Argentina,2005,Grants of patents (number),"1,798"
32,Argentina,2010,Grants of patents (number),"1,366"
32,Argentina,2019,Grants of patents (number),"2,177"
32,Argentina,2020,Grants of patents (number),"2,337"
32,Argentina,2021,Grants of patents (number),"2,298"
32,Argentina,2020,Patents in force (number),"14,550"
32,Argentina,2021,Patents in force (number),"13,411"
51,Armenia,1995,Resident patent filings (per million population),58
51,Armenia,2005,Resident patent filings (per million population),69
51,Armenia,2010,Resident patent filings (per million population),49
51,Armenia,2019,Resident patent filings (per million population),40
51,Armenia,2020,Resident patent filings (per million population),22
51,Armenia,2021,Resident patent filings (per million population),14
51,Armenia,1995,Grants of patents (number),52
51,Armenia,2005,Grants of patents (number),126
51,Armenia,2010,Grants of patents (number),124
51,Armenia,2019,Grants of patents (number),100
51,Armenia,2020,Grants of patents (number),72
51,Armenia,2021,Grants of patents (number),27
51,Armenia,2005,Patents in force (number),110
51,Armenia,2010,Patents in force (number),278
51,Armenia,2019,Patents in force (number),219
51,Armenia,2020,Patents in force (number),189
51,Armenia,2021,Patents in force (number),12
36,Australia,1995,Resident patent filings (per million population),99
36,Australia,2005,Resident patent filings (per million population),125
36,Australia,2010,Resident patent filings (per million population),109
36,Australia,2019,Resident patent filings (per million population),104
36,Australia,2020,Resident patent filings (per million population),92
36,Australia,2021,Resident patent filings (per million population),115
36,Australia,1985,Grants of patents (number),"6,764"
36,Australia,1995,Grants of patents (number),"9,406"
36,Australia,2005,Grants of patents (number),"10,979"
36,Australia,2010,Grants of patents (number),"14,557"
36,Australia,2019,Grants of patents (number),"17,010"
36,Australia,2020,Grants of patents (number),"17,778"
36,Australia,2021,Grants of patents (number),"17,155"
36,Australia,2005,Patents in force (number),"96,403"
36,Australia,2010,Patents in force (number),"96,293"
36,Australia,2019,Patents in force (number),"159,244"
36,Australia,2020,Patents in force (number),"159,304"
36,Australia,2021,Patents in force (number),"157,313"
40,Austria,1985,Resident patent filings (per million population),300
40,Austria,1995,Resident patent filings (per million population),217
40,Austria,2005,Resident patent filings (per million population),404
40,Austria,2010,Resident patent filings (per million population),497
40,Austria,2019,Resident patent filings (per million population),496
40,Austria,2020,Resident patent filings (per million population),497
40,Austria,2021,Resident patent filings (per million population),468
40,Austria,1985,Grants of patents (number),"2,571"
40,Austria,1995,Grants of patents (number),"1,777"
40,Austria,2005,Grants of patents (number),938
40,Austria,2010,Grants of patents (number),"1,130"
40,Austria,2019,Grants of patents (number),"1,112"
40,Austria,2020,Grants of patents (number),"1,058"
40,Austria,2021,Grants of patents (number),"1,038"
40,Austria,2005,Patents in force (number),"95,618"
40,Austria,2010,Patents in force (number),"102,113"
40,Austria,2019,Patents in force (number),"171,654"
40,Austria,2020,Patents in force (number),"159,581"
40,Austria,2021,Patents in force (number),"152,105"
31,Azerbaijan,1995,Resident patent filings (per million population),29
31,Azerbaijan,2005,Resident patent filings (per million population),34
31,Azerbaijan,2010,Resident patent filings (per million population),30
31,Azerbaijan,2019,Resident patent filings (per million population),20
31,Azerbaijan,2020,Resident patent filings (per million population),11
31,Azerbaijan,2021,Resident patent filings (per million population),14
31,Azerbaijan,1995,Grants of patents (number),9
31,Azerbaijan,2005,Grants of patents (number),195
31,Azerbaijan,2010,Grants of patents (number),126
31,Azerbaijan,2019,Grants of patents (number),102
31,Azerbaijan,2020,Grants of patents (number),110
31,Azerbaijan,2021,Grants of patents (number),119
